Country,Corrected,Percentage,numSlave
Mauritania,40000,4.000%,"160K"
Uzbekistan,39729,3.9729%,"1.2M"
Haiti,23041, 2.3041%,"240K"
Qatar,13563,1.3563%,"29K"
India,11409,1.1409%,"14M"
Pakistan,11300,1.1300%,"21M"
DemRep of the Congo,11300,1.1300%,"760K"
Sudan,11300,1.1300%,"430K"
Syria,11300,1.1300%,"260K"
Centr African Republic,11300,1.1300%,"52K"
Republic of the Congo,11061,1.1061%,"49K"
United Arab Emirates,10572,1.0572%,"99K"
Iraq,10351,1.0351%,"350K"
Cambodia,10292,1.0292%,"160K"
Moldova,9362,0.9362%,"33K"
Mongolia,9068,0.9068%,"26K"
Namibia,9068,0.9068%,"21K"
Botswana,9068,0.9068%,"18K"
Suriname,9068,0.9068%,"4.9K"
Nepal,8227,0.8227%,"230K"