Team,Won,Tie,Lost,Scored,Conceded,Ranking,Points,Millions
Juventus,13,4,1,38,9,1,43,118
Roma,12,4,2,31,13,2,40,98
Milan,6,8,4,27,21,8,26,94
Inter,6,7,5,29,25,9,25,70
Napoli,8,6,4,33,24,4,30,70
Fiorentina,7,6,5,25,17,6,27,56
Lazio,9,4,5,33,21,3,31,55.1
Palermo,6,7,5,30,30,10,25,30
Sampdoria,7,9,2,23,17,5,30,28
Sassuolo,5,9,4,20,23,11,24,28
Genoa,7,6,5,20,12,7,27,27.4
Torino,4,7,7,13,19,14,19,27
Udinese,6,5,7,21,24,12,23,26
Atalanta,3,8,7,14,24,17,17,24
Parma,3,1,14,18,39,19,9,20.5
Verona,5,6,7,21,28,13,21,20.5
Chievo,4,6,8,13,20,16,18,18.3
Cagliari,3,6,9,23,35,18,15,16
Cesena,1,6,11,15,36,20,9,11.2
Empoli,3,9,6,17,23,15,18,11